1;08:20;15:40;05:20
2;08:40;15:20;18:10
3;08:20;15:40;20:00
4;08:40;15:20;19:50
5;08:20;15:40;19:50
6;08:40;15:20;19:50
7;08:20;15:40;19:50
8;08:40;15:20;19:50
9;08:20;15:40;19:50
10;08:40;15:20;19:50
11;08:20;15:40;19:50
12;08:40;15:20;18:10
13;08:20;15:40;05:20
14;08:40;15:20;18:10
15;08:20;15:40;20:00
16;08:40;15:20;19:50
17;08:20;15:40;05:20
18;08:40;15:20;18:10
19;08:20;15:40;20:00
20;08:40;15:20;20:00
Microsoft;08:20;15:40;20:00
Hidraulica;08:40;15:20;20:00
Eletrônica;08:20;15:40;20:00
Corte e costura;08:40;15:20;20:00
Cisco;08:20;15:40;20:00
Predial;08:40;15:20;19:50
